[Thu Jan 12 19:24:06.415522 2017] [:error] [pid 5124] [client 127.0.0.1:34076] PHP Fatal error:  Call to undefined method AppBundle\\Form\\KategorijaType::getDoctrine() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/KategorijaType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/kategorija/
[Thu Jan 12 19:24:06.658951 2017] [:error] [pid 5126] [client 127.0.0.1:34082] PHP Fatal error:  Call to undefined method AppBundle\\Form\\KategorijaType::getDoctrine() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/KategorijaType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/kategorija/
[Thu Jan 12 21:34:17.747512 2017] [:error] [pid 2530] [client 127.0.0.1:39214] PHP Parse error:  syntax error, unexpected 'sss' (T_STRING), expecting ')' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:13:35.022877 2017] [:error] [pid 4623] [client 127.0.0.1:47702] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 18, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:39:15.435919 2017] [:error] [pid 3716] [client 127.0.0.1:48676] PHP Fatal error:  Class 'AppBundle\\Form\\ResultSetMapping' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 18, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:45:26.683760 2017] [:error] [pid 3720] [client 127.0.0.1:49308] PHP Fatal error:  Call to undefined method Doctrine\\ORM\\NativeQuery::getQuery() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 20, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:49:33.510485 2017] [:error] [pid 4615] [client 127.0.0.1:49350] PHP Parse error:  syntax error, unexpected '=' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 21, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:49:53.083857 2017] [:error] [pid 3719] [client 127.0.0.1:49362] PHP Fatal error:  Call to undefined method Doctrine\\ORM\\QueryBuilder::setParametar() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 22, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 16:59:53.512129 2017] [:error] [pid 3720] [client 127.0.0.1:49776] PHP Fatal error:  Method Doctrine\\ORM\\Query\\Expr\\From::__toString() must not throw an exception in /var/www/Aplikacija_Pweb/vendor/doctrine/orm/lib/Doctrine/ORM/QueryBuilder.php on line 0, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 17:04:17.897205 2017] [:error] [pid 4623] [client 127.0.0.1:49976] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/nova
[Fri Jan 13 18:07:38.379885 2017] [:error] [pid 3716] [client 127.0.0.1:51626] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 18:07:42.959444 2017] [:error] [pid 3717] [client 127.0.0.1:51648] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 18:08:24.773151 2017] [:error] [pid 3719] [client 127.0.0.1:51682] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 18:08:35.152996 2017] [:error] [pid 3716] [client 127.0.0.1:51726] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 18:10:24.564310 2017] [:error] [pid 4623] [client 127.0.0.1:51784] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/
[Fri Jan 13 18:13:30.232232 2017] [:error] [pid 3718] [client 127.0.0.1:51824] PHP Fatal error:  Call to a member function getRepository() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/DogadjajType.php on line 19, referer: http://dev.aplikacijapweb/app_dev.php/admin/dogadjaj/1/izmeni
[Fri Jan 13 18:50:00.266530 2017] [:error] [pid 3719] [client 127.0.0.1:52452] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrujTimController.php on line 49, referer: http://dev.aplikacijapweb/app_dev.php/registruj
[Fri Jan 13 18:50:08.943623 2017] [:error] [pid 4623] [client 127.0.0.1:52458] PHP Parse error:  syntax error, unexpected '}' in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrujTimController.php on line 51, referer: http://dev.aplikacijapweb/app_dev.php/registruj
[Fri Jan 13 18:57:45.425866 2017] [:error] [pid 4623] [client 127.0.0.1:52638] PHP Fatal error:  Cannot use Sensio\\Bundle\\FrameworkExtraBundle\\Configuration\\Route as Route because the name is already in use in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrujTimController.php on line 15
[Fri Jan 13 18:58:09.316108 2017] [:error] [pid 3720] [client 127.0.0.1:52646] PHP Fatal error:  Class 'AppBundle\\Controller\\Tim' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrujTimController.php on line 30, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:17:43.303004 2017] [:error] [pid 3717] [client 127.0.0.1:52818] PHP Fatal error:  Class 'AppBundle\\Controller\\Prijava' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/RegistrujTimController.php on line 32, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:35:05.079990 2017] [:error] [pid 4623] [client 127.0.0.1:52986] PHP Fatal error:  Call to undefined method AppBundle\\Entity\\Prijava::getKategorija() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 35, referer: http://dev.aplikacijapweb/app_dev.php/
